method,sse_mean,sse_stdev,silhouette_mean,silhouette_stdev,quantization_mean,quantization_stdev
K-Means++,2632722.1142358473,2499.6545204749,0.5584231579,0.0034775699,919.6205965041,1.5937757527
PSO,2450893.594235629,122562.6450702176,0.564478198,0.0130988617,880.1119096626,28.3430571522
PSO Hybrid,2436663.1564136585,114323.1367009746,0.5660217132,0.010941638,876.9426640769,26.5728094735
