method,sse_mean,sse_stdev,silhouette_mean,silhouette_stdev,quantization_mean,quantization_stdev
K-means,2631888.896062356,3332.8726939664,0.557263968,0.0046367599,920.1518550883,2.1250343369
t-SNE Kmeans,1941.0762939453,0.0,0.6225032806396484,0.0,24.9425824483,0.0
t-SNE PSO Kmeans,1935.5142791748,13.8016552658,0.6199589371681213,0.003114022547379136,25.1547879537,0.1337290303
